Czas,Mowca,Tekst
"00:07","Mowca 0","To"
"00:18","Mowca 1","nie jest kredyt."
"00:22","Mowca 1","To jest tylko zabezpieczenie."
"00:24","Mowca 2","To nie jest kredyt."
"00:26","Mowca 1","Znaczy gwarancje, obiecuję, że ktoś gwarancje, ewentualnie przy..."
"00:31","Mowca 3","Nie ma żadnego płatu później?"
"00:34","Mowca 1","Jeśli ktoś gwarancje, jeśli ty zakładasz pewnie gwarancję, to potem ani się nie gwarantuje."
"00:40","Mowca 1","No to to też nie jakoś..."
"00:42","Mowca 1","To jest taka polska liczba, to trzeba sprawdzić,"
"00:48","Mowca 0","jak to się wybrało na ten czy inny temat."
"00:50","Mowca 1","Nie wiem nic."
"00:56","Mowca 1","Przy"
"01:08","Mowca 3","zamienieniu TNP, PTAO, PKOŁEP, ja mówię cię z 68-ma materiałem."
"01:18","Mowca 3","Każdy chce powodować, żeby to robić."
"01:40","Mowca 3","Nie każdy coś zrobi z kurczakiem, a tak to z kurczakiem to każdy, wiesz, włoży do rodzaju."
"01:45","Mowca 3","Dzień dobry."
"01:47","Mowca 3","Fajnie, tak?"
"01:49","Mowca 3","Sesja nie zrobiłem."
"01:50","Mowca 3","Witam, dzień dobry."
"01:53","Mowca 0","Dzień dobry."
"01:56","Mowca 2","Fajnie,"
"02:02","Mowca 3","tak."
"02:05","Mowca 3","Dobra, i tak trochę wyszła ta dziesiąta."
"02:12","Mowca 3","No dokładnie."
"02:14","Mowca 3","Już się szykuję."
"02:17","Mowca 3","Zamknę programy."
"02:22","Mowca 3","I zablokuję telefon, żeby nam nie przeszkadzać."
"02:29","Mowca 3","No okej, i teraz tak."
"02:33","Mowca 3","Oferty były, ja sobie zobaczę na te oferty."
"02:35","Mowca 2","Trzy oferty były."
"02:37","Mowca 3","Tak, było już od razu lepiej."
"02:40","Mowca 2","Ja pozwoliłem sobie wydrukować, bo zaczęliśmy od projektu technologicznego 46 tysięcy i potem rozmawialiśmy, mieliśmy rozmowy telefoniczne."
"02:49","Mowca 2","dyskusję i ustaliliśmy, że przechodzimy na cenę 43 tysiące złotych na projekt technologiczny."
"02:57","Mowca 2","I to stanęło na tej drugiej ofercie."
"03:00","Mowca 3","Płatność 50 na 50."
"03:02","Mowca 2","Tak, bo tak jest po prostu u nas zawsze i była jeszcze trzecia oferta, którą pan powiedział, że się zastanawiacie na całkowite opracowanie systemu, dokumentacji systemu BRC pod certyfikację."
"03:15","Mowca 3","Tak, BRC V39."
"03:16","Mowca 2","V9, najnowszy model aktualnie obowiązujący, to była oferta dotycząca kompleksowego opracowania całej dokumentacji przygotowanej do audytu, tak?"
"03:28","Mowca 0","Łącznie z przejściem audytu, rozumiem, tak?"
"03:30","Mowca 2","Nie, to jest na takiej zasadzie, że zrobimy kompleksowo całą dokumentację i dokumentacja jest przez nas zrobiona i trzeba ją Państwa wdrożyć."
"03:40","Mowca 2","I ta oferta, dokumentacja, wszystkie formularze zapisu, wszystko."
"03:47","Mowca 2","I teraz jest kwestia, że trzeba ją u Państwa wdrożyć i wtedy możemy zrobić tak, że my możemy zaoferować swoją pomoc i tu są dwie takie formy współpracy, że albo umawiamy się tak, że, bo to wdrożenie zależy od Państwa, tak?"
"04:01","Mowca 2","My mamy klientów, którzy mówią tak, musimy wejść do sieci, Jest zrobiona dokumentacja i ja mam twierdzić, że tak, zaczynam robić dokumentację, to nie ma czasu, ja rezerwuję audytora, rezerwuję jednostkę certyfikującą, od razu zamawiam termin certyfikacji, bo się bardzo długo czeka."
"04:21","Mowca 0","Natomiast nie wiedziałeś, że się czeka czasu?"
"04:23","Mowca 2","Powiem Pani tak, normalnie jakbym zadzwonił, to usłyszałbym 7-8 miesięcy, ale są sytuacje, że niekiedy ktoś wypadnie, no i chodzi też o kwestie..."
"04:35","Mowca 0","A tak jak zadzwoni Pan Wojtek Rybka, to ile?"
"04:37","Mowca 2","Ale chodzi o kwestię doboru ludzi, Pani Justyno, tak?"
"04:40","Mowca 2","Bo znamy się tyle lat i to nie o to chodzi, żebym ja tu przyniósł jakąś Panią, co przyjedzie, obejdzie i powie, Panie Sergiuszu, trzeba jeszcze raz poprawić audyt, trzeba jeszcze raz przyjechać, niech firma jeszcze raz płaci za audyt, bo coś, bo coś."
"04:53","Mowca 2","Trzeba przyjechać z takim zespołem ludzi, że sobie na spokojnie usiądziemy, kulturalnie porozmawiamy, przejdziemy przez zakład, tak, i żeby certyfikat był wydany, był wszystko dobrze."
"05:04","Mowca 2","I my posiadamy taki zespół ludzi, mamy takich pięć osób, z którymi wiele lat współpracujemy."
"05:10","Mowca 2","No i wiemy, że jak ta osoba przyjedzie, wiemy, że ta osoba się świetnie porusza w drobiarstwie, że to jest osoba, która pracowała, że to nie jest osoba, która ma wiedzę z książki, tylko z produkcji, z praktyki, że wiemy, że jak przyjedzie, to nie będzie się nam jakieś głupot po prostu czepiała, tylko do merytum to, co jest potrzebne."
"05:27","Mowca 2","I my możemy dalej zaoferować taką pomoc, że np."
"05:31","Mowca 2","przyjeżdżamy przez miesiąc do pani Justyny, i dajemy sobie miesiąc czasu na uruchomienie i pełne wdrożenie tej dokumentacji."
"05:39","Mowca 2","Tam jest, do zrobienia są testy identyfikowalności, kwalifikacja dostawców, no bo my nie możemy tego zrobić, bo ich nie znamy."
"05:45","Mowca 0","Czyli my identyfikowalność robimy, tak?"
"05:47","Mowca 2","Tak, ale to my Pani wszystko wtedy pomożemy, to co trzeba przygotować do systemu i ten miesiąc się kończy i na końcu tego miesiąca jest audyt, my na ten audyt przyjeżdżamy, podajemy dokumentację, reprezentujemy Państwa i zawsze na audycie są działania poaudytowe, że coś trzeba dopisać, wyjaśnić, bo zawsze tak jest i my te działania wszystkie poaudytowe wykonujemy i dostajecie gotowy certyfikat."
"06:11","Mowca 2","Lub możemy się umówić tak, że Nie musimy przyjeżdżać na miesiąc, tylko mamy taką check listę i umawiamy się, że na przykład przyjeżdżamy sobie dwa czy trzy razy."
"06:22","Mowca 2","Za każdy dzień na przykład pani mówi tak, ja odpowiadam za to, za to, za to."
"06:27","Mowca 2","Kierownik jakiejś transportu będzie odpowiadał za to, za to, za to i na przykład przyjeżdżamy 3 razy w miesiącu i według tej checklisty jedziemy, że w transporcie to mamy do zrobienia to, u Pani Justyny mamy do zrobienia to, przekazujemy to, wdrażamy, uruchamiamy dokumenty, ale jest każda, każdy dział odpowiada Wasz przedstawiciel, tak, no bo jeśli ja przyjeżdżam do firmy i firma mi na przykład płaci bardzo dużo pieniędzy za to, żebym ja to wdrożył, I Marta mówi tak, trzeba wysłać do dostawców, tak, kwalifikacje, formularze samooceny."
"07:02","Mowca 2","My przyjeżdżamy, mówimy, niech nam pani te formularze, które dostawcy odesłali."
"07:08","Mowca 2","My te formularze, czyli się wszystko przygotujemy."
"07:10","Mowca 2","Pani nic nie robi."
"07:11","Mowca 2","Pani ma tylko je wysłać gotowe."
